hotel_name,rating,description,address,url,city,latitude,longitude
villa camargue,10,"Villa Camargue in Aigues-Mortes offers three bedrooms and a bathroom. The property features air-conditioning, a fully equipped kitchen, and a washing machine. Guests can relax in the garden or on the terrace, enjoying free WiFi throughout the stay.","282 Rue Jacques Cœur, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/villa-camargue-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=16&hpos=16&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.575161,4.1834248
La maison sur la place dans Aigues Mortes,9.0,"La maison sur la place dans Aigues Mortes offers a spacious holiday home in Aigues-Mortes. The property features two bedrooms and two bathrooms, a comfortable living room, and a fully equipped kitchen.","6 Rue Paul Bert, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/la-maison-sur-la-place-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=15&hpos=15&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.5658726,4.1929586
Villa à deux pas de la cité médiévale dans une résidence très calme,8.8,"Villa à deux pas de la cité médiévale dans une résidence très calme in Aigues-Mortes offers two bedrooms and a bathroom. Guests enjoy a fully equipped kitchen, washing machine, and free WiFi.","150 Rue du Vidourle, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/villa-a-deux-pas-de-la-cite-medievale-dans-une-residence-tres-calme.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=14&hpos=14&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.569799522692,4.186523869312
Hotel Saint Louis - Au Coeur des Remparts,8.5,"Set in the historical heart of Aigues-Mortes, 200 yards from the Tour de Constance, Hotel Saint Louis - Au Coeur des Remparts is an air-conditioned hotel with a wellness center and restaurant. Free WiFi access is available on site and public city parking spots are available for free.

All rooms feature a contemporary décor inspired by the region and are fitted a flat-screen TV, a mini-bar and a telephone. Each room has a private bathroom. In the summer, guests can enjoy a drink on the patio or sun terrace. The onsite restaurant features a baroque-style décor and offers modern Camargue cuisine made with local produce and outdoor seating.

Nîmes is 43 km from Hotel Saint Louis - Au Coeur des Remparts, while Arles is 49 km from the property. Montpellier - Mediterranee Airport is 26 km away.

 There is a wellness center with a sauna and massages are also available on request.","10, Rue Amiral Courbet, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/saint-louis-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=13&hpos=13&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.5672196715711,4.189343601465225
Belle marina avec piscine collective,8.7,"Belle marina avec piscine collective in Aigues-Mortes offers a holiday home with two bedrooms and a living room. The property includes a terrace, balcony, and free WiFi.","1090 Avenue de la Mont Joye, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/marina-avec-appontement-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=12&hpos=12&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.5750022,4.1862674
Hôtel Le Médiéval - Parking inclus & accueil vélo,8.9,"Le Médiéval is located on the banks of the canal in Aigues-Mortes, 30 km from Montpellier. It offers en suite rooms, free parking and an outdoor swimming pool.

Hotel Le Médiéval provides a daily buffet continental-style breakfast that can be taken on the terrace in fine weather. The hotel also provides free Wi-Fi access in public areas.

Free private parking is possible on site and the medieval ramparts are a 2-minute walk from the hotel.","221 Avenue Du Pont De Provence, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/le-medieval.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=11&hpos=11&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.57186625316511,4.19366168974193
La Villa Mazarin,9.2,"Set in a building dating from the 15th century, La Villa Mazarin is located in the fortified city of Aigues-Mortes. It offers a terrace and guests can enjoy a drink at the bar. Free WiFi is available throughout. The guest rooms have air conditioning, heating, satellite TV, a telephone and a fridge. All rooms are furnished in 17th-century Provençale style. In the hotel's restaurant, La Table, you can enjoy French culinary specialties or choose from a selection of light meals and snacks. The salon opens onto the courtyard and sun terrace. The restaurant is open in the evenings from Wednesday to Sunday from 7pm to 9pm, and only at weekends for lunch (noon to 1pm). Closed on Mondays and Tuesdays. The Villa Mazarin has a private underground car park 1.85 m high. This option, which costs €18 per day per vehicle, must be booked in advance (subject to availability, as the number of spaces is limited). Your pet (dog or cat) is welcome (ON RESERVATION - one pet per room - supplement of €25 per day applies). Please contact us beforehand. Our relaxation area is available until midnight (sauna, jacuzzi, fitness room, swimming pool heated between 23° and 25°). Montpellier is 35 km from La Villa Mazarin, while Nîmes is 43 km away. The nearest airport is Mediterranee Airport, 25 km from the property.","35 boulevard Gambetta, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/la-villa-mazarin.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=10&hpos=10&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.56498661964503,4.191751956841472
le dit vin secret,8.4,"le dit vin secret in Aigues-Mortes offers air-conditioned rooms with private bathrooms, city views, and parquet floors. Each room includes a tea and coffee maker, hairdryer, and free toiletries.","13 rue sadi carnot 13 rue sadi carnot, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/le-dit-vin-secret.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=9&hpos=9&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.566769,4.189113
chez sandrou,9.5,"Château Sandrou in Aigues-Mortes offers a recently renovated 1-star holiday home with two bedrooms and a bathroom. The property is pet-friendly and includes air-conditioning, a terrace, and free WiFi.","14 Rue Rouget de l'Isle, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/chez-sandrou.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=8&hpos=8&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.5645341,4.1922299
Les remparts Aigues-Mortes appartement et parking,9.1,"Les remparts Aigues-Mortes appartement et parking in Aigues-Mortes offers a one-bedroom apartment with a living room. The property features parquet floors, a sofa bed, and a dining area.","2 rue Pasteur 1er étage, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/les-remparts-aigues-mortes-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=7&hpos=7&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.5667223,4.19055
Le Cosy des Remparts ! Charmant appartement intra-muros,9.0,"Le Cosy des Remparts ! Charmant appartement intra-muros in Aigues-Mortes offers a one-bedroom apartment with a living room. The property features parquet floors and a sofa bed, ensuring a cosy and inviting atmosphere.","3 Rue J J Rousseau, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/le-cosy-des-remparts-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=6&hpos=6&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.5655229,4.1905592
Maison aux pieds des Remparts,9.2,"Maison aux pieds des Remparts in Aigues-Mortes offers a one-bedroom apartment with a living room. The property includes a terrace with garden views, air-conditioning, and a fully equipped kitchen.","Maison R+1 Aigues-Mortes, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/maison-aux-pieds-des-remparts.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=5&hpos=5&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.56892174455075,4.188115323314117
Hôtel les jardins du canal - piscine chauffée - solaire eco responsable - parking - garage - bornes électriques - accueil vélos - kids friendly,8.9,"Hôtel les jardins du canal  is a 5-minute walk to the fortified city, on the banks of the canal, visible from its panoramic terrace and swimming pool. It offers air-conditioned rooms with free WiFi. Free parking is available and garage parking is possible for an extra charge, or free of charge for motorbikes.

All of the rooms in the 3-star Hotel Canal Aigues Mortes are soundproofed and have a flat-screen TV with French and foreign channels.

In the warmer months the buffet breakfast can be eaten on the outdoor terrace. In the summer, guests can also enjoy snacks or light meals by the canal.

Bicycle rental is available onsite and there is also a seminar room for meetings.

Hotel Canal Aigues Mortes is a 10-minute drive from Grau-du-Roi beach and a 20-minute drive from Montpellier-Méditerranée Airport. Aigues-Mortes train station is a 4-minute walk away. Montpellier, Arles and Nîmes can all be reached within 45 minutes by car.","440 Route De Nimes, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/canal-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=4&hpos=4&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.572987520084624,4.194824695587158
Artemia Aigues-Mortes - Hôtel avec piscine - Bornes électriques - Parking privé - Local vélo-moto,8.9,"Featuring free WiFi and a seasonal outdoor swimming pool, Artemia Aigues-Mortes is located in Aigues-Mortes, a 15-minute drive from the Carmague Natural Regional Park. The nearest beach is a 15-minute drive away. Free parking is available on site.

Certain rooms include views of the pool or garden. Each room comes with a flat-screen TV and a private bathroom. Some rooms also feature a private terrace.

A buffet breakfast is available for an extra charge.

Artemia Aigues-Mortes also provides meeting facilities.

Nîmes is 40 km from Artemia Aigues-Mortes, while Arles is 45 km from the property. The nearest airport is Montpellier - Mediterranee Airport, 26 km from the property.","897, Route De Nîmes, 30220 Aigues-Mortes, France",https://www.booking.com/hotel/fr/le-royal-hotel-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKW8OTRBsACAdICJDI5ZTdlZDg2LTRkZjgtNGQwZC1iZmU2LWM2ZmQ1YzA0MDk1ZdgCAeACAQ&sid=12a55688e1d2b6894e10ab33ddcb4a62&dist=0&group_adults=2&group_children=0&hapos=3&hpos=3&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1782134809&srpvid=8cfb5e8b6b3707f2&type=total&ucfs=1&,Aigues Mortes,43.57639588787367,4.197818040847778
